px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.45053	0.251376	3.03512	0.000681892	2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.47317	0.24655	2.53395	-0.0346818	-0.00440041	8.56759	0.241943	8.45	0.25	0	0	1.06567
8.50323	0.25033	2.45331	-0.0124636	-0.00176264	8.45582	0.253997	8.45	0.25	0	0	0
8.36214	0.233695	0.202997	-0.128985	-0.0382825	8.42544	0.254042	8.35	0.25	-1.81979	0	11.674
8.32534	0.241511	0.110107	-0.0954033	-0.030504	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.00506	0.263672	-2.79239	-0.0719233	-0.0196279	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	44.5377
7.87633	0.24676	-2.80513	-0.0301386	0.0694464	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.70371	0.223178	-2.91705	0.130782	0.20128	7.61269	0.155818	7.7	0.15	-2.99982	0	1.62168
7.5743	0.181629	-2.93175	0.223171	0.269341	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.47611	0.0693248	-2.80169	0.484297	0.506266	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.32124
7.34604	0.0191295	-2.79551	0.47184	0.472268	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.18227	0.0226186	-2.84681	0.324677	0.159357	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.810281
7.04107	-0.0387237	-2.85144	0.348546	0.171467	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.9461	-0.160254	-2.70826	0.556923	0.800551	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.00114
6.82938	-0.248451	-2.70894	0.611959	0.817691	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.71918	-0.330213	-2.71676	0.651875	0.807503	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0406972
6.62009	-0.429646	-2.72742	0.710104	0.831498	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.57703	-0.598177	-2.73002	1.01447	1.55732	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.73753
6.51855	-0.699366	-2.70086	1.08316	1.55235	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
